0.416,-1.036,3.001,-0.623,-2.539,1.302
0.442,-3.754,-0.579,4.960,4.462,1.974
-10.295,-4.614,-4.067,3.732,-2.544,3.746
-0.110,0.135,-2.498,4.190,1.874,-1.508
2.318,-4.469,1.744,-2.650,0.854,-2.534
12.276,1.192,4.857,-4.827,0.266,4.090
-6.168,-1.357,2.808,3.715,-4.272,4.074
-9.573,-2.641,-3.141,1.445,-4.279,1.472
-4.872,-4.081,3.682,-1.139,-4.745,2.281
11.060,3.031,1.263,-0.312,2.711,3.191
-9.790,-3.436,-2.767,4.326,-1.949,1.015
2.791,-4.771,-1.336,1.780,4.821,3.061
14.337,3.723,4.469,-4.640,1.673,-3.314
1.718,4.718,3.021,1.069,-3.327,-2.503
-0.015,3.316,1.049,0.157,-4.442,0.125
-7.816,0.684,-3.803,3.080,-3.944,1.185
16.812,2.101,3.394,-4.657,4.598,-2.363
-6.650,-3.228,2.172,2.440,-2.582,-2.150
13.530,1.812,-3.681,-4.531,3.778,4.017
2.846,-4.386,-3.825,-0.877,3.498,0.359
